ID68,Wealth,weight1991,age2017,selfemployed91,Child Wage,Wage,Age,Self-employed,Wage Percentile,wage0919_p,Female,Occupation = Technical,Occupation = Manager,Occupation = Sales,Occupation = Clerical,Occupation = Craftsman,Occupation = Operatives,Occupation = Transport,Occupation = Laborers,Occupation = Farmers,Occupation = Farm Laborers,Occupation = Service,Occupation = Private,Industry = Agriculture,Industry = Mining,Industry = Construction,Industry = Manufacturing,Industry = Transportation,Industry = Retail Trade,Industry = Finance,Industry = Business,Industry = Personal,Industry = Entertainment,Industry = Professional,Industry = Public Admin,African-American,Northeast,Northcentral,South,West,Some High School,High School,Some College,College,Married,cfemale,coccTechnical,coccManager,coccSales,coccClerical,coccCraftsman,coccOperatives,coccTransport,coccLaborers,coccFarmers,coccFarmLaborers,coccService,coccPrivate,cindAgriculture,cindMining,cindConstruction,cindManufacturing,cindTransportation,cindRetailTrade,cindFinance,cindBusiness,cindPersonal,cindEntertainment,cindProfessional,cindPublic,cBlack,cNortheast,cNorthCentral,cSouth,cWest,csomeHS,cHS,csomeCollege,cCollege,cmarried,wealth_p,A1,A2,A3,A4,A5,A6,A7,A8,MedianMobility,OuterFold,Pred_Income,Pred_IncomeWealth,Pred_IncomeWealthEducation,Pred_ResourcesDemographics,Pred_Full,PredictionRevision,Pred_Full_GB,Pred_Income_Logit,Pred_Full_Logit,IncomeQuartile,WealthQuartile,IncomeQuintile,IncomeDecile,WealthDecile,High Wealth,HighAdvantage,LowAdvantage,OpportunityGroup,RevisionGroup,IncomeOnlyScoreQuintile,RevisionTercileWithinIncomeScore,MobilityBin,_g1_0,_g0_0,_g1_1,_g0_1,_g1_2,_g0_2,_g1_3,_g0_3,_g1_4,_g0_4,_g1_5,_g0_5,Disadvantaged,EducationGroup,Bottom10Predicted,RaceGroup,RegionGroup
7,10807.269811630249,20.943,42,1.0,20981.324,4185.317,37.0,1.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,0.17425606942761873,0.14776521713516805,0.20558841481212128,0.2763373853864043,0.31999051976967213,0.1457344503420534,0.25758640090370327,0.3004309901818214,0.267945423753191,Q1,Q2,Q1,D1,D3,0.0,0.0,1.0,Middle,Middle 80%,Q1,Middle revision,25–50%,0,1,0,1,0,1,0,1,0,0,0,1,False,High school,False,Other/non-Black,Northcentral
7,10807.269811630249,20.943,40,1.0,21437.145,4185.317,37.0,1.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,0.17425606942761873,0.14776521713516805,0.20558841481212128,0.2763373853864043,0.31999051976967213,0.1457344503420534,0.25758640090370327,0.3004309901818214,0.267945423753191,Q1,Q2,Q1,D1,D3,0.0,0.0,1.0,Middle,Middle 80%,Q1,Middle revision,25–50%,0,1,0,1,0,1,0,1,0,0,0,1,False,High school,False,Other/non-Black,Northcentral
7,10807.269811630249,20.943,43,1.0,52942.242,4185.317,37.0,1.0,7.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,0.17425606942761873,0.14776521713516805,0.20558841481212128,0.2763373853864043,0.31999051976967213,0.1457344503420534,0.25758640090370327,0.3004309901818214,0.267945423753191,Q1,Q2,Q1,D1,D3,0.0,0.0,1.0,Middle,Middle 80%,Q1,Middle revision,25–50%,0,1,0,1,0,1,0,1,0,0,0,1,False,High school,False,Other/non-Black,Northcentral
7,2593.7447547912598,41.886,36,1.0,38913.336,5346.9404,35.0,1.0,9.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0.20268940437031616,0.14185474546274424,0.12318566230533873,0.15023348560186484,0.2078699550533805,0.005180550683064333,0.16272882999451108,0.3035970700348045,0.164363379747197,Q1,Q1,Q1,D1,D2,0.0,0.0,1.0,Middle,Middle 80%,Q1,Low revision,Bottom 10%,0,1,0,1,0,1,0,1,0,0,0,1,True,Some high school,True,Other/non-Black,Northcentral
7,2593.7447547912598,41.886,42,1.0,23442.379,5346.9404,35.0,1.0,9.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,0.20268940437031616,0.14185474546274424,0.12318566230533873,0.15023348560186484,0.2078699550533805,0.005180550683064333,0.16272882999451108,0.3035970700348045,0.164363379747197,Q1,Q1,Q1,D1,D2,0.0,0.0,1.0,Middle,Middle 80%,Q1,Low revision,Bottom 10%,0,1,0,1,0,1,0,1,0,0,0,1,True,Some high school,True,Other/non-Black,Northcentral
7,-1080.726981163025,19.579,29,0.0,21508.053,123.308395,33.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,0.20774464462439904,0.14416660477294643,0.09493117313437471,0.1402286652981681,0.18821887383844874,-0.019525770785950303,0.12821046943251574,0.2895096670760142,0.15192692814088432,Q1,Q1,Q1,D1,D1,0.0,0.0,1.0,Low,Middle 80%,Q1,Low revision,Bottom 10%,0,1,0,1,0,1,0,1,0,0,0,1,True,Some high school,True,Other/non-Black,Northcentral
7,-1080.726981163025,19.579,36,0.0,3127.7507,123.308395,33.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5,0.20774464462439904,0.14416660477294643,0.09493117313437471,0.1402286652981681,0.18821887383844874,-0.019525770785950303,0.12821046943251574,0.2895096670760142,0.15192692814088432,Q1,Q1,Q1,D1,D1,0.0,0.0,1.0,Low,Middle 80%,Q1,Low revision,Bottom 10%,0,1,0,1,0,1,0,1,0,0,0,1,True,Some high school,True,Other/non-Black,Northcentral
7,-1080.726981163025,19.579,33,0.0,24718.748,123.308395,33.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5,0.20774464462439904,0.14416660477294643,0.09493117313437471,0.1402286652981681,0.18821887383844874,-0.019525770785950303,0.12821046943251574,0.2895096670760142,0.15192692814088432,Q1,Q1,Q1,D1,D1,0.0,0.0,1.0,Low,Middle 80%,Q1,Low revision,Bottom 10%,0,1,0,1,0,1,0,1,0,0,0,1,True,Some high school,True,Other/non-Black,Northcentral
7,-1080.726981163025,19.579,25,0.0,42909.35,123.308395,33.0,0.0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.20774464462439904,0.14416660477294643,0.09493117313437471,0.1402286652981681,0.18821887383844874,-0.019525770785950303,0.12821046943251574,0.2895096670760142,0.15192692814088432,Q1,Q1,Q1,D1,D1,0.0,0.0,1.0,Low,Middle 80%,Q1,Low revision,Bottom 10%,0,1,0,1,0,1,0,1,0,0,0,1,True,Some high school,True,Other/non-Black,Northcentral
10,95536.2651348114,3.379,41,1.0,3936.0151,26863.31,44.0,1.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,58.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0.3384171560196624,0.24143195077423127,0.3962845799799386,0.412458190953065,0.4021930979530977,0.06377594193343533,0.40020329280868555,0.3816005083527055,0.5126923037840878,Q2,Q3,Q2,D4,D6,1.0,0.0,0.0,High,Middle 80%,Q2,High revision,25–50%,1,0,0,1,0,0,1,0,1,0,0,0,False,Some college,False,Black,South
10,5187.4895095825195,5.471,26,0.0,22066.045,26218.95,,0.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0.2458677744758396,0.2722206916605197,0.2056450482455422,0.2554285926465393,0.290877501510349,0.04500972703450942,0.33249470391194497,0.3800208587426172,0.47464008264460206,Q2,Q1,Q2,D3,D3,0.0,0.0,1.0,Middle,Middle 80%,Q1,Middle revision,10–25%,0,1,0,1,0,1,0,1,0,0,0,1,False,Omitted/other education,False,Other/non-Black,Other
14,48632.71415233612,20.459,32,0.0,52313.285,58282.492,28.0,0.0,65.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.34777088532803146,0.3247858460280603,0.28830305445234405,0.3338005369504438,0.3621273109392794,0.014356425611247947,0.3672958969700512,0.4610535831005346,0.2790448632989504,Q3,Q2,Q4,D7,D5,0.0,0.0,1.0,Low,Middle 80%,Q2,Middle revision,25–50%,0,1,0,1,0,1,0,1,0,0,0,1,False,High school,False,Other/non-Black,West
